gameId,season,gameType,gameDate,startTimeUTC,venue,venueCity,homeTeamId,homeTeam,homeAbbrev,awayTeamId,awayTeam,awayAbbrev,homeGoals,awayGoals,homeShotsOnGoal,awayShotsOnGoal,wentToOT,wentToSO,finalPeriodNumber,finalPeriodType,gameState,game_year
2023030316,20232024,3,2024-06-01,2024-06-02T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,3,New York,NYR,2,1,34,24,False,False,3,REG,OFF,2023
2023030321,20232024,3,2024-05-23,2024-05-24T00:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,22,Edmonton,EDM,2,3,33,38,True,False,5,OT,OFF,2023
2023030322,20232024,3,2024-05-25,2024-05-26T00:00:00Z,American Airlines Center,Dallas,25,Dallas,DAL,22,Edmonton,EDM,3,1,25,29,False,False,3,REG,OFF,2023
2023030323,20232024,3,2024-05-27,2024-05-28T00:30:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,25,Dallas,DAL,3,5,30,22,False,False,3,REG,OFF,2023
2023030324,20232024,3,2024-05-29,2024-05-30T00:30:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,25,Dallas,DAL,5,2,29,22,False,False,3,REG,OFF,2023
2023030325,20232024,3,2024-05-31,2024-06-01T00:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,22,Edmonton,EDM,1,3,20,26,False,False,3,REG,OFF,2023
2023030326,20232024,3,2024-06-02,2024-06-03T00:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,25,Dallas,DAL,2,1,10,34,False,False,3,REG,OFF,2023
2023030411,20232024,3,2024-06-08,2024-06-09T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,22,Edmonton,EDM,3,0,18,32,False,False,3,REG,OFF,2023
2023030412,20232024,3,2024-06-10,2024-06-11T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,22,Edmonton,EDM,4,1,29,19,False,False,3,REG,OFF,2023
2023030413,20232024,3,2024-06-13,2024-06-14T00:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,13,Florida,FLA,3,4,35,23,False,False,3,REG,OFF,2023
2023030414,20232024,3,2024-06-15,2024-06-16T00:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,13,Florida,FLA,8,1,35,33,False,False,3,REG,OFF,2023
2023030415,20232024,3,2024-06-18,2024-06-19T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,22,Edmonton,EDM,3,5,32,24,False,False,3,REG,OFF,2023
2023030416,20232024,3,2024-06-21,2024-06-22T00:00:00Z,Rogers Place,Edmonton,22,Edmonton,EDM,13,Florida,FLA,5,1,21,21,False,False,3,REG,OFF,2023
2023030417,20232024,3,2024-06-24,2024-06-25T00:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,22,Edmonton,EDM,2,1,21,24,False,False,3,REG,OFF,2023
2024030111,20242025,3,2025-04-20,2025-04-20T23:00:00Z,Scotiabank Arena,Toronto,10,Toronto,TOR,9,Ottawa,OTT,6,2,24,33,False,False,3,REG,OFF,2024
2024030112,20242025,3,2025-04-22,2025-04-22T23:30:00Z,Scotiabank Arena,Toronto,10,Toronto,TOR,9,Ottawa,OTT,3,2,21,28,True,False,4,OT,OFF,2024
2024030113,20242025,3,2025-04-24,2025-04-24T23:00:00Z,Canadian Tire Centre,Ottawa,9,Ottawa,OTT,10,Toronto,TOR,2,3,20,20,True,False,4,OT,OFF,2024
2024030114,20242025,3,2025-04-26,2025-04-26T23:00:00Z,Canadian Tire Centre,Ottawa,9,Ottawa,OTT,10,Toronto,TOR,4,3,21,34,True,False,4,OT,OFF,2024
2024030115,20242025,3,2025-04-29,2025-04-29T23:00:00Z,Scotiabank Arena,Toronto,10,Toronto,TOR,9,Ottawa,OTT,0,4,29,19,False,False,3,REG,OFF,2024
2024030116,20242025,3,2025-05-01,2025-05-01T23:00:00Z,Canadian Tire Centre,Ottawa,9,Ottawa,OTT,10,Toronto,TOR,2,4,23,23,False,False,3,REG,OFF,2024
2024030121,20242025,3,2025-04-22,2025-04-23T00:30:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,2,6,22,17,False,False,3,REG,OFF,2024
2024030122,20242025,3,2025-04-24,2025-04-24T22:30:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,0,2,19,23,False,False,3,REG,OFF,2024
2024030123,20242025,3,2025-04-26,2025-04-26T17:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,14,Tampa Bay,TBL,1,5,34,22,False,False,3,REG,OFF,2024
2024030124,20242025,3,2025-04-28,2025-04-28T23:00:00Z,Amerant Bank Arena,Sunrise,13,Florida,FLA,14,Tampa Bay,TBL,4,2,23,20,False,False,3,REG,OFF,2024
2024030125,20242025,3,2025-04-30,2025-04-30T23:30:00Z,Amalie Arena,Tampa,14,Tampa Bay,TBL,13,Florida,FLA,3,6,29,31,False,False,3,REG,OFF,2024
2024030131,20242025,3,2025-04-21,2025-04-21T23:00:00Z,Capital One Arena,Washington,15,Washington,WSH,8,Montréal,MTL,3,2,32,35,True,False,4,OT,OFF,2024
2024030132,20242025,3,2025-04-23,2025-04-23T23:00:00Z,Capital One Arena,Washington,15,Washington,WSH,8,Montréal,MTL,3,1,32,26,False,False,3,REG,OFF,2024
2024030133,20242025,3,2025-04-25,2025-04-25T23:00:00Z,Centre Bell,Montreal,8,Montréal,MTL,15,Washington,WSH,6,3,40,21,False,False,3,REG,OFF,2024
2024030134,20242025,3,2025-04-27,2025-04-27T22:30:00Z,Centre Bell,Montreal,8,Montréal,MTL,15,Washington,WSH,2,5,18,26,False,False,3,REG,OFF,2024
2024030135,20242025,3,2025-04-30,2025-04-30T23:00:00Z,Capital One Arena,Washington,15,Washington,WSH,8,Montréal,MTL,4,1,28,29,False,False,3,REG,OFF,2024
2024030141,20242025,3,2025-04-20,2025-04-20T19:00:00Z,Lenovo Center,Raleigh,12,Carolina,CAR,1,New Jersey,NJD,4,1,45,24,False,False,3,REG,OFF,2024
2024030142,20242025,3,2025-04-22,2025-04-22T22:00:00Z,Lenovo Center,Raleigh,12,Carolina,CAR,1,New Jersey,NJD,3,1,28,26,False,False,3,REG,OFF,2024
2024030143,20242025,3,2025-04-25,2025-04-26T00:00:00Z,Prudential Center,Newark,1,New Jersey,NJD,12,Carolina,CAR,3,2,37,27,True,False,5,OT,OFF,2024
2024030144,20242025,3,2025-04-27,2025-04-27T19:30:00Z,Prudential Center,Newark,1,New Jersey,NJD,12,Carolina,CAR,2,5,22,29,False,False,3,REG,OFF,2024
2024030145,20242025,3,2025-04-29,2025-04-29T23:30:00Z,Lenovo Center,Raleigh,12,Carolina,CAR,1,New Jersey,NJD,5,4,54,35,True,False,5,OT,OFF,2024
2024030151,20242025,3,2025-04-19,2025-04-19T22:00:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,19,St. Louis,STL,5,3,26,17,False,False,3,REG,OFF,2024
2024030152,20242025,3,2025-04-21,2025-04-21T23:30:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,19,St. Louis,STL,2,1,22,22,False,False,3,REG,OFF,2024
2024030153,20242025,3,2025-04-24,2025-04-25T01:30:00Z,Enterprise Center,St. Louis,19,St. Louis,STL,52,Winnipeg,WPG,7,2,28,19,False,False,3,REG,OFF,2024
2024030154,20242025,3,2025-04-27,2025-04-27T17:00:00Z,Enterprise Center,St. Louis,19,St. Louis,STL,52,Winnipeg,WPG,5,1,24,31,False,False,3,REG,OFF,2024
2024030155,20242025,3,2025-04-30,2025-05-01T01:30:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,19,St. Louis,STL,5,3,26,19,False,False,3,REG,OFF,2024
2024030156,20242025,3,2025-05-02,2025-05-03T00:00:00Z,Enterprise Center,St. Louis,19,St. Louis,STL,52,Winnipeg,WPG,5,2,27,23,False,False,3,REG,OFF,2024
2024030157,20242025,3,2025-05-04,2025-05-04T23:00:00Z,Canada Life Centre,Winnipeg,52,Winnipeg,WPG,19,St. Louis,STL,4,3,47,29,True,False,5,OT,OFF,2024
2024030161,20242025,3,2025-04-19,2025-04-20T00:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,1,5,24,25,False,False,3,REG,OFF,2024
2024030162,20242025,3,2025-04-21,2025-04-22T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,4,3,39,37,True,False,4,OT,OFF,2024
2024030163,20242025,3,2025-04-23,2025-04-24T01:30:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,1,2,28,28,True,False,4,OT,OFF,2024
2024030164,20242025,3,2025-04-26,2025-04-27T01:30:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,4,0,48,23,False,False,3,REG,OFF,2024
2024030165,20242025,3,2025-04-28,2025-04-29T01:30:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,6,2,27,28,False,False,3,REG,OFF,2024
2024030166,20242025,3,2025-05-01,2025-05-02T01:30:00Z,Ball Arena,Denver,21,Colorado,COL,25,Dallas,DAL,7,4,48,26,False,False,3,REG,OFF,2024
2024030167,20242025,3,2025-05-03,2025-05-04T00:00:00Z,American Airlines Center,Dallas,25,Dallas,DAL,21,Colorado,COL,4,2,19,27,False,False,3,REG,OFF,2024
2024030171,20242025,3,2025-04-20,2025-04-21T02:00:00Z,T-Mobile Arena,Paradise,54,Vegas,VGK,30,Minnesota,MIN,4,2,27,20,False,False,3,REG,OFF,2024
2024030172,20242025,3,2025-04-22,2025-04-23T03:00:00Z,T-Mobile Arena,Paradise,54,Vegas,VGK,30,Minnesota,MIN,2,5,32,17,False,False,3,REG,OFF,2024
